Pick,Available Rank,player,pos,team,points,sd_pts,dropoff,floor,ceiling,points_vor,floor_vor,ceiling_vor,rank,floor_rank,ceiling_rank,pos_rank,tier,ecr,sd_ecr,risk,injury_status,Flex Rank
0,LB19,Cory Littleton,LB,LVR,86.2,11.1,0.222,78.1,93.3,-21.5,-22.2,-17.2,234,231,204,29,5,NA,NA,5.32,NA,999
0,LB20,Jamie Collins,LB,DET,86,10.7,1.52,78.2,92.8,-21.7,-22.1,-17.7,236,230,206,30,5,NA,NA,5.22,NA,999
0,DB17,Bashaud Breeland,DB,MIN,84.5,NA,0.27,NA,NA,-11.7,NA,NA,164,NA,NA,26,5,NA,NA,NA,NA,999
0,LB21,Shaq Green-Thompson,LB,CAR,84.5,12.2,0.608,75.5,92.3,-23.2,-24.8,-18.3,249,253,209,31,5,NA,NA,5.59,NA,999
0,DB18,Darnell Savage,DB,GB,84.2,3.46,0.423,81.7,86.4,-11.9,-8.95,-15.2,166,168,195,27,5,NA,NA,3.3,NA,999
0,LB22,Devin Bush,LB,PIT,83.9,2.47,0.0156,82.1,85.5,-23.9,-18.2,-25.1,253,212,254,32,5,NA,NA,3.27,NA,999
0,LB23,Dre Greenlaw,LB,SF,83.9,7.42,0.369,79.1,89.3,-23.9,-21.2,-21.3,254,224,228,33,5,NA,NA,4.45,Q,999
0,DB19,Tracy Walker,DB,DET,83.8,6.58,0.508,79.6,88.6,-12.4,-11,-13,167,179,179,28,5,NA,NA,4.32,NA,999
0,LB24,Chris Kirksey,LB,HOU,83.5,10.7,0.194,76.7,91.3,-24.2,-23.6,-19.2,258,245,218,34,5,NA,NA,5.22,NA,999
0,DB20,Taron Johnson,DB,BUF,83.3,NA,0.708,NA,NA,-12.9,NA,NA,169,NA,NA,29,5,NA,NA,NA,NA,999
0,LB25,Dennis Gardeck,LB,ARI,83.3,NA,1.28,NA,NA,-24.4,NA,NA,260,NA,NA,35,5,NA,NA,NA,O,999
150,,Vonn Bell,DB,CIN,82.6,3.68,0.903,79.9,84.9,-13.6,-10.7,-16.7,174,177,200,30,5,NA,NA,3.37,NA,999
0,LB26,Shaquil Barrett,LB,TB,82,2.26,2.13,80.4,83.5,-25.7,-19.9,-27.1,269,219,266,36,6,NA,NA,3.22,NA,999
0,DB21,Kevin King,DB,GB,81.7,11.7,0.019,74.2,90.3,-14.5,-16.5,-11.4,179,202,166,31,5,NA,NA,6,NA,999
0,DB22,Marcus Peters,DB,BAL,81.7,10.2,0.541,75.2,89.2,-14.5,-15.5,-12.5,180,196,176,32,5,NA,NA,5.49,NA,999
